Name,Domestic City,Domestic State,County,City Coordinates
Modeling and simulation of real-world scientific problems,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Ethnographic Field Methods,Ithaca and NYC,New York,Tompkins,"-76.5019, 42.4440"
Ithaca Cemetery visit,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Limnology: the Ecology of Lakes -Laboratories,Cornell Biological Field Station & Lake Como & Cornell Experimental Ponds,New York,Tompkins,"-76.302006, 42.676990"
Prison Theatre: the possibilities of Transformation,Ithaca Campus/Auburn,New York,Tompkins,"-76.5019, 42.4440"
Psychology at the Sciencenter!,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Cornell Zen Meditation,Danby,NY,Tompkins,"-76.4808, 42.3523"
INFO 4320 projects show at the ScienCenter,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
MODELING AND SIMULATION OF REAL_WORLD SCIENTIFIC PROBLEMS,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Local Glacial and Quaternary Geology,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Software development for local non-profit organization,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
PAM Capstone Projects Course,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Honors research,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Empirical research,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Supervised Fieldwork,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
MacCormack Juvenile Facility Debate and Chess,Brooktondale,New York,Tompkins,"-76.3947, 42.3806"
Contract Administration Engaged Learning Projects,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
CIPA Public Service Exchange - Consulting for Government and Nonprofit Organizations,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Field Trips for PAM 5740,Ithaca and Syracuse,NY,Tompkins,"-76.5019, 42.4440"
NS4250 Nutrition Communications and Counseling,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
HD4490/HD4300/HD4010,Ithaca,New York,Tompkins,"-76.5019, 42.4440"
"Group project for ILROB 5210, Organizational Design, Culture, and Change",Ithaca,NY,Tompkins,"-76.5019, 42.4440"
"Group project for ILROB 3201, Organizational Change: Theory and Practice",Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Inclusive Futures,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
le Centre d‰ÛªEducation Inclusive (CEI) in Haiti Independent Study,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Finger Lakes Youth Debate Program,Lansing,NY,Tompkins,"-76.4799, 42.4842"
Mayor Potencial Experiential Learning trips,Ithaca,ny,Tompkins,"-76.5019, 42.4440"
Student Visit to Covance,Ithaca,New York,Tompkins,"-76.5019, 42.4440"
The Art of Teaching,Ithaca,New York,Tompkins,"-76.5019, 42.4440"
Community Engagement in Decision Making,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Site Assembly,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Ithaca Waterfront Futures,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Forest Management and Maple Syrup Production,Brooktondale,NY,Tompkins,"-76.3947, 42.3806"
"Collaboration, Leadership and Career Skills in the Plant Sciences",Trumansburg,NY,Tompkins,"-76.6661, 42.5423"
Global Garbage,Ithaca,New York,Tompkins,"-76.5019, 42.4440"
Global Garbage,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
"Agriculture, Food, Sustainability and Social Justice",Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Healing Plants and the People Who Use Them,Ithaca,New York,Tompkins,"-76.5019, 42.4440"
Designing Archaeological Exhibits,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Fieldwork in Urban Archaeology,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Coaching Kids for Creativity,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Engaging Students in Learning,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Agents of Change,Various (Binghamton/Ithaca),New York,Tompkins,"-76.5019, 42.4440"
YardWorks Kingston Design Studio,Kingston,NY,Ulster,"-73.9974, 41.9270"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Wayne,"-76.8150, 43.2206"
Undergraduate and Graduate field research in ecology and evolutionary biology,,"New York, Florida, California, Colorado, Alaska",,
Root Map performance project,various,NY and TX,,
"Minor on Crime, Prisons, Education & Justice",Various (correctional facilities),NY,,
Cornell Local Roads Program Summer Intern Program,various,New York,,
Improving Decision Making,Multiple cities,NY,,
The Iscol Family Program for Leadership Development in Public Service Summer Internship program,various,NY,,
CHE-CCE Summer Internship Program,Various,NY,,
Empirical Research:  Seguin Lab (iChart Project),,NY,,
CCE Summer Intership Program,,New York,,
Farm Fresh Foods For Healthy Kids:  Study Data Collection by Graduate Student,,NY,,
Rural Food Environment Assessment Tool Development,,NY,,
Cornell Dietetic Internship Community Nutrition Rotation,Various,New York,,
Co Operative Extension Summer Internship,various,ny,,
Arbitration and Mediation Observations,various,NY,,
CALS NYS Internship Program,Various,NY,,
Dairy Farm Visits and Case Studies,Various,"New York, Pennsylvania",,
Plant and Insect Research,Various,NY,,
FDSC 4000: Capstone Project in Food Science,Various,New York,,
summer internship in a NYS Cheese factory,various,New York,,
CCE Summer Internship Program,,New York State,,
Food Marketing Fellows Program,Various site visits in Central New York,New York,,
CAMP Summer Intern Project,various across state,NY,,
Data Collection for NIH Grant on Tobacco Warning Labels,Various,New York,,
Landform Genealogy,Various,NY,,
Cornell Program on Agribusiness Development,Multple areas for data collection,NY,,
Cornell Program on Agribusiness Development,Multple areas for data collection,NY,,
